               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.035658,           0.0087973,                   0,             0.60856,              0.6996,             0.63667,             0.26214,            0.049269,            0.010321,                   0,              0.0055,              0.0055,              0.0055
                  62,            0.035756,           0.0085406,                   0,              0.6025,             0.78311,             0.67848,             0.23653,            0.047422,            0.010191,                   0,           0.0053822,           0.0053822,           0.0053822
                  63,            0.034935,           0.0085333,                   0,             0.67149,             0.68138,             0.63799,             0.25787,            0.047906,            0.010731,                   0,           0.0052645,           0.0052645,           0.0052645
                  64,            0.035046,           0.0086329,                   0,             0.66117,             0.71551,             0.64388,             0.25184,             0.04601,            0.010539,                   0,           0.0051469,           0.0051469,           0.0051469
                  65,            0.034572,           0.0082433,                   0,             0.63366,             0.74955,             0.62504,              0.2162,            0.044819,            0.010397,                   0,           0.0050296,           0.0050296,           0.0050296
                  66,            0.035431,           0.0085173,                   0,             0.66036,             0.64814,             0.59576,             0.24708,            0.047127,            0.010672,                   0,           0.0049126,           0.0049126,           0.0049126
                  67,            0.034648,           0.0086198,                   0,             0.73668,             0.69943,             0.70011,             0.26448,            0.044865,            0.010051,                   0,            0.004796,            0.004796,            0.004796
                  68,            0.033477,           0.0084275,                   0,             0.77774,             0.69984,             0.72813,             0.28857,            0.044915,             0.01003,                   0,           0.0046799,           0.0046799,           0.0046799
                  69,            0.035071,           0.0082039,                   0,             0.76914,             0.66632,             0.71406,             0.29352,            0.043909,            0.010043,                   0,           0.0045644,           0.0045644,           0.0045644
                  70,            0.033944,           0.0083366,                   0,             0.77075,             0.61637,             0.67504,             0.24617,            0.046875,             0.01057,                   0,           0.0044495,           0.0044495,           0.0044495
                  71,            0.034562,           0.0079688,                   0,             0.67112,             0.71667,              0.6547,             0.22913,            0.049377,            0.010631,                   0,           0.0043353,           0.0043353,           0.0043353
                  72,            0.034037,           0.0082106,                   0,             0.67848,             0.63333,             0.61845,             0.24841,            0.047364,            0.011029,                   0,           0.0042219,           0.0042219,           0.0042219
                  73,            0.033456,           0.0086821,                   0,             0.68614,             0.58299,             0.61692,             0.26481,            0.043552,            0.010796,                   0,           0.0041094,           0.0041094,           0.0041094
                  74,            0.032486,           0.0081672,                   0,             0.73665,                 0.7,             0.68083,             0.27163,            0.046682,            0.010645,                   0,           0.0039979,           0.0039979,           0.0039979
