               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,             0.03806,           0.0087293,                   0,             0.80424,             0.61626,             0.67368,             0.24631,            0.049099,            0.009834,                   0,            0.006204,            0.006204,            0.006204
                  56,             0.03763,           0.0091316,                   0,              0.7117,                 0.7,             0.64407,             0.24782,            0.045493,           0.0099022,                   0,           0.0060874,           0.0060874,           0.0060874
                  57,            0.037128,           0.0089839,                   0,             0.59265,             0.68333,              0.6095,             0.20573,            0.046987,            0.010723,                   0,           0.0059704,           0.0059704,           0.0059704
                  58,            0.036487,           0.0087447,                   0,             0.63041,                 0.6,             0.57347,             0.20273,            0.051092,             0.01039,                   0,           0.0058531,           0.0058531,           0.0058531
                  59,            0.036995,           0.0086938,                   0,             0.66666,             0.66665,             0.62361,             0.21399,            0.046276,            0.010553,                   0,           0.0057355,           0.0057355,           0.0057355
                  60,            0.036497,           0.0084969,                   0,             0.74987,             0.54963,             0.59273,             0.21447,            0.048523,            0.010564,                   0,           0.0056178,           0.0056178,           0.0056178
                  61,            0.036542,           0.0087653,                   0,             0.74492,             0.63333,             0.62099,             0.23443,            0.053006,            0.010047,                   0,              0.0055,              0.0055,              0.0055
                  62,             0.03653,           0.0086939,                   0,             0.63053,                 0.6,             0.60983,              0.2554,            0.050983,            0.010582,                   0,           0.0053822,           0.0053822,           0.0053822
                  63,            0.034747,           0.0085726,                   0,             0.65973,             0.58333,             0.61481,             0.22717,            0.048392,            0.010654,                   0,           0.0052645,           0.0052645,           0.0052645
                  64,            0.034982,           0.0085705,                   0,             0.54927,                0.65,             0.59032,             0.21463,            0.056504,            0.010449,                   0,           0.0051469,           0.0051469,           0.0051469
                  65,            0.034779,           0.0083191,                   0,             0.71121,             0.61667,              0.6511,             0.22694,             0.05075,            0.010313,                   0,           0.0050296,           0.0050296,           0.0050296
                  66,            0.035281,            0.008532,                   0,             0.82344,                 0.7,             0.71996,             0.27068,            0.047671,            0.010475,                   0,           0.0049126,           0.0049126,           0.0049126
                  67,            0.034515,           0.0085232,                   0,             0.76444,             0.64905,             0.68534,              0.2717,            0.051231,            0.010224,                   0,            0.004796,            0.004796,            0.004796
                  68,            0.033493,           0.0084616,                   0,             0.77513,             0.58333,             0.68144,             0.27329,            0.049394,            0.010269,                   0,           0.0046799,           0.0046799,           0.0046799
                  69,             0.03499,           0.0082128,                   0,             0.81243,                0.65,             0.68916,             0.25987,            0.047724,             0.01011,                   0,           0.0045644,           0.0045644,           0.0045644
                  70,            0.034174,           0.0084647,                   0,             0.69487,                0.65,             0.66718,             0.26268,             0.04564,            0.010657,                   0,           0.0044495,           0.0044495,           0.0044495
                  71,             0.03498,           0.0080259,                   0,             0.65263,                 0.6,             0.62449,             0.23041,             0.05137,            0.010925,                   0,           0.0043353,           0.0043353,           0.0043353
                  72,            0.034057,           0.0084291,                   0,             0.75922,             0.68318,             0.68512,             0.26453,            0.049767,            0.010383,                   0,           0.0042219,           0.0042219,           0.0042219
                  73,            0.033455,           0.0087414,                   0,             0.81392,              0.5832,             0.61885,             0.24946,            0.048522,            0.011096,                   0,           0.0041094,           0.0041094,           0.0041094
                  74,            0.032356,            0.008269,                   0,             0.77354,             0.68317,             0.69992,             0.29616,            0.050549,            0.010633,                   0,           0.0039979,           0.0039979,           0.0039979
                  75,            0.033659,           0.0084504,                   0,             0.71995,             0.73333,             0.69309,             0.22496,            0.053169,            0.010406,                   0,           0.0038873,           0.0038873,           0.0038873
                  76,            0.032804,           0.0082181,                   0,             0.77994,                0.65,             0.68855,             0.28004,            0.050712,           0.0099028,                   0,           0.0037779,           0.0037779,           0.0037779
                  77,            0.032599,             0.00751,                   0,             0.79557,             0.64862,             0.66129,             0.27799,            0.051236,            0.010436,                   0,           0.0036697,           0.0036697,           0.0036697
                  78,            0.033144,            0.008195,                   0,             0.70154,             0.66667,             0.62777,              0.2577,            0.050943,            0.010712,                   0,           0.0035627,           0.0035627,           0.0035627
                  79,            0.031392,           0.0085181,                   0,             0.66633,                 0.7,             0.65591,             0.23243,            0.049628,            0.010858,                   0,            0.003457,            0.003457,            0.003457
                  80,            0.031148,           0.0081534,                   0,             0.74992,             0.59976,             0.65587,             0.27366,            0.048691,            0.010486,                   0,           0.0033528,           0.0033528,           0.0033528
                  81,             0.03268,           0.0081493,                   0,             0.73022,             0.63333,             0.63932,             0.28065,            0.051988,            0.010562,                   0,             0.00325,             0.00325,             0.00325
                  82,            0.031878,           0.0081594,                   0,              0.7871,             0.61619,             0.64216,              0.2522,            0.052631,            0.010738,                   0,           0.0031488,           0.0031488,           0.0031488
                  83,             0.03155,           0.0077078,                   0,             0.74463,             0.58333,             0.62821,             0.24371,             0.04907,            0.010686,                   0,           0.0030491,           0.0030491,           0.0030491
                  84,            0.031485,           0.0079145,                   0,             0.77065,             0.61667,             0.63771,              0.2502,            0.051402,            0.011003,                   0,           0.0029512,           0.0029512,           0.0029512
                  85,            0.031576,           0.0077422,                   0,             0.76545,                 0.6,             0.63738,             0.25554,            0.049677,            0.011119,                   0,            0.002855,            0.002855,            0.002855
                  86,            0.030946,           0.0078148,                   0,             0.64504,             0.66633,             0.66583,              0.2694,            0.050099,            0.011156,                   0,           0.0027606,           0.0027606,           0.0027606
                  87,            0.030743,           0.0073316,                   0,             0.77961,                0.65,             0.65681,             0.24565,            0.051188,            0.011003,                   0,           0.0026681,           0.0026681,           0.0026681
                  88,            0.031446,           0.0078104,                   0,             0.74941,                 0.7,             0.68087,             0.25718,            0.049615,            0.010955,                   0,           0.0025775,           0.0025775,           0.0025775
                  89,            0.030411,            0.007209,                   0,             0.69476,             0.68283,             0.67623,             0.25949,            0.049916,            0.011278,                   0,           0.0024889,           0.0024889,           0.0024889
                  90,            0.029377,           0.0074793,                   0,             0.74915,                 0.6,             0.64364,             0.26821,            0.047036,            0.011747,                   0,           0.0024024,           0.0024024,           0.0024024
                  91,            0.029871,           0.0076869,                   0,              0.7707,             0.61623,             0.62143,             0.26613,            0.049063,             0.01133,                   0,            0.002318,            0.002318,            0.002318
                  92,            0.029313,           0.0075202,                   0,             0.73429,                0.65,             0.64769,             0.24773,            0.050066,            0.011025,                   0,           0.0022358,           0.0022358,           0.0022358
                  93,            0.029874,           0.0073715,                   0,             0.84701,                0.65,             0.69318,             0.26878,            0.048911,            0.010893,                   0,           0.0021558,           0.0021558,           0.0021558
                  94,            0.029794,           0.0074331,                   0,             0.72552,                0.75,             0.67756,             0.26521,            0.049765,             0.01124,                   0,           0.0020782,           0.0020782,           0.0020782
                  95,            0.029142,           0.0074745,                   0,             0.74135,             0.71667,             0.67446,             0.28141,            0.048645,            0.011166,                   0,           0.0020028,           0.0020028,           0.0020028
                  96,            0.028467,           0.0075155,                   0,             0.73559,                0.65,             0.64697,             0.27423,            0.049178,            0.011003,                   0,           0.0019299,           0.0019299,           0.0019299
                  97,            0.028656,           0.0071533,                   0,             0.79909,             0.66667,              0.6676,             0.28342,            0.049804,             0.01091,                   0,           0.0018594,           0.0018594,           0.0018594
